a : 2.1040, 0 -> 0
b : 3.7849, 0 -> 4
c : 9.0507, 0 -> 5
d : 3.9135, 0 -> 5
a : -4.4380, 1 -> 7
b : 9.9717, 1 -> 0
c : -6.0893, 1 -> 3
d : 5.8664, 1 -> 5
a : 6.2231, 2 -> 2
b : -8.9975, 2 -> 4
c : 2.1216, 2 -> 2
d : 2.4417, 2 -> 0
a : -8.1897, 3 -> 6
b : -8.7229, 3 -> 4
c : 0.6846, 3 -> 6
d : 8.7406, 3 -> 6
a : 9.3458, 4 -> 1
b : -8.1594, 4 -> 5
c : -2.2309, 4 -> 5
d : -0.1500, 4 -> 7
a : 9.6259, 5 -> 1
b : 9.6504, 5 -> 5
c : -9.2676, 5 -> 1
d : -9.9907, 5 -> 7
a : 5.4891, 6 -> 1
b : 4.6136, 6 -> 7
c : -6.9431, 6 -> 5
d : -0.6481, 6 -> 1
a : -4.3253, 7 -> 5
b : -2.8745, 7 -> 5
c : -2.9045, 7 -> 5
d : 0.7546, 7 -> 4
b : -8.4802, 0 -> 2
c : 5.7602, 0 -> 1
c : -7.5005, 1 -> 6
a : 0.0924, 1 -> 2
a : 2.1421, 2 -> 2
d : -0.6248, 2 -> 7
d : -2.4812, 3 -> 2
a : 9.1149, 3 -> 7
b : -1.0893, 4 -> 7
a : -9.5398, 4 -> 5
c : -8.6259, 5 -> 7
a : 6.7625, 5 -> 7
d : -6.6157, 6 -> 3
c : -1.3802, 6 -> 0
a : 8.5117, 7 -> 3
c : -5.6379, 7 -> 3
