a : 1.5072, 0 -> 5
b : 1.9892, 0 -> 5
c : 5.5043, 0 -> 3
d : -7.3481, 0 -> 1
a : 5.2698, 1 -> 1
b : 1.5106, 1 -> 6
c : -1.3426, 1 -> 4
d : 1.9742, 1 -> 5
a : 7.2681, 2 -> 1
b : 5.5879, 2 -> 1
c : 8.0816, 2 -> 6
d : 1.2747, 2 -> 7
a : -8.5309, 3 -> 5
b : 4.9387, 3 -> 5
c : -0.5137, 3 -> 5
d : 2.9945, 3 -> 6
a : -4.4861, 4 -> 2
b : -8.7337, 4 -> 4
c : -3.0808, 4 -> 2
d : 3.2298, 4 -> 6
a : 8.2842, 5 -> 1
b : 1.2084, 5 -> 3
c : 0.5397, 5 -> 4
d : -9.4064, 5 -> 0
a : -9.9087, 6 -> 1
b : -4.1708, 6 -> 1
c : -4.5909, 6 -> 5
d : -5.6414, 6 -> 6
a : 2.3683, 7 -> 0
b : -6.4659, 7 -> 5
c : -0.5880, 7 -> 2
d : -2.9270, 7 -> 4
a : 2.3802, 0 -> 5
a : 9.2652, 0 -> 3
d : -8.2021, 1 -> 6
a : 0.6902, 1 -> 7
c : 1.0183, 2 -> 0
d : 4.4545, 2 -> 2
d : 5.1863, 3 -> 7
c : 0.5363, 3 -> 4
a : -1.6982, 4 -> 6
d : -6.9500, 4 -> 1
a : -5.8316, 5 -> 1
c : 9.6152, 5 -> 2
a : 5.2725, 6 -> 7
b : 7.8813, 6 -> 0
d : -7.1110, 7 -> 6
c : 6.7593, 7 -> 2
