a : 5.9073, 0 -> 7
b : 1.1035, 0 -> 6
c : -0.5776, 0 -> 5
d : 5.6831, 0 -> 7
a : 9.6592, 1 -> 3
b : -6.9074, 1 -> 1
c : 3.0716, 1 -> 6
d : -2.1252, 1 -> 7
a : -4.5193, 2 -> 3
b : 4.2440, 2 -> 7
c : 9.9748, 2 -> 3
d : 9.3082, 2 -> 3
a : -8.4539, 3 -> 7
b : -6.8986, 3 -> 5
c : -5.0198, 3 -> 5
d : 1.9467, 3 -> 7
a : 0.2525, 4 -> 4
b : 8.2133, 4 -> 6
c : 4.6916, 4 -> 1
d : -0.5127, 4 -> 2
a : 7.6462, 5 -> 0
b : 2.7840, 5 -> 5
c : -1.3911, 5 -> 4
d : 6.1024, 5 -> 3
a : -5.0390, 6 -> 5
b : -2.0421, 6 -> 5
c : -8.4711, 6 -> 5
d : -2.0745, 6 -> 6
a : -7.6851, 7 -> 7
b : -6.5830, 7 -> 5
c : -7.3004, 7 -> 5
d : -3.7237, 7 -> 3
d : 6.0123, 0 -> 0
b : -3.4550, 0 -> 1
b : 9.2000, 1 -> 4
a : 0.4293, 1 -> 3
d : 5.2693, 2 -> 7
b : 0.6569, 2 -> 3
a : 4.1867, 3 -> 7
b : -6.6993, 3 -> 5
a : -6.0226, 4 -> 6
c : -9.8982, 4 -> 5
a : -7.3041, 5 -> 0
b : -4.8765, 5 -> 3
a : -0.7464, 6 -> 6
c : -1.7439, 6 -> 4
d : -5.7069, 7 -> 2
d : 8.4354, 7 -> 6
