a : 8.5687, 0 -> 6
b : -2.5421, 0 -> 0
c : 0.1584, 0 -> 5
d : -4.0435, 0 -> 4
a : -3.0862, 1 -> 2
b : 4.1960, 1 -> 6
c : -9.1828, 1 -> 2
d : 1.6727, 1 -> 3
a : 4.7676, 2 -> 6
b : -8.9818, 2 -> 3
c : 1.6300, 2 -> 3
d : -8.1622, 2 -> 2
a : -4.7901, 3 -> 4
b : 8.8894, 3 -> 5
c : -9.6825, 3 -> 1
d : 8.9652, 3 -> 6
a : 9.5480, 4 -> 0
b : 2.9441, 4 -> 6
c : 7.8739, 4 -> 0
d : -9.6786, 4 -> 4
a : 8.6661, 5 -> 7
b : -5.9647, 5 -> 2
c : -4.1588, 5 -> 2
d : 8.0068, 5 -> 7
a : -2.7233, 6 -> 6
b : -6.0597, 6 -> 3
c : -7.3715, 6 -> 0
d : -9.6859, 6 -> 5
a : -7.3166, 7 -> 4
b : 6.6063, 7 -> 0
c : 8.1693, 7 -> 5
d : 4.3300, 7 -> 5
d : -3.4476, 0 -> 6
d : 3.7234, 0 -> 6
c : -4.4639, 1 -> 3
d : -5.7197, 1 -> 2
d : 5.9639, 2 -> 6
b : -0.7728, 2 -> 0
a : -2.9561, 3 -> 2
c : 1.2678, 3 -> 1
c : -7.6683, 4 -> 4
b : -4.6194, 4 -> 0
d : -7.1704, 5 -> 5
d : -8.3058, 5 -> 3
d : -1.4701, 6 -> 3
a : 2.7891, 6 -> 7
a : -7.0928, 7 -> 5
a : -6.8489, 7 -> 1
