a : -9.6857, 0 -> 5
b : 5.9124, 0 -> 7
c : -2.2137, 0 -> 6
d : -0.4418, 0 -> 5
a : -6.4929, 1 -> 2
b : -7.3336, 1 -> 5
c : -6.4079, 1 -> 6
d : 1.4234, 1 -> 4
a : 8.9254, 2 -> 2
b : 7.5395, 2 -> 1
c : 9.4788, 2 -> 1
d : -6.3499, 2 -> 5
a : 2.8729, 3 -> 1
b : 0.3174, 3 -> 1
c : 7.2498, 3 -> 7
d : 3.5267, 3 -> 2
a : 5.3301, 4 -> 3
b : 4.9333, 4 -> 3
c : 6.1063, 4 -> 4
d : 5.9960, 4 -> 2
a : 3.9399, 5 -> 1
b : -3.7625, 5 -> 7
c : -5.7259, 5 -> 7
d : -9.1810, 5 -> 1
a : 9.5755, 6 -> 5
b : 9.3026, 6 -> 2
c : -4.9356, 6 -> 5
d : -5.1333, 6 -> 5
a : -5.6715, 7 -> 0
b : -2.3874, 7 -> 1
c : -2.2946, 7 -> 2
d : -9.5275, 7 -> 2
c : -5.9489, 0 -> 4
d : -4.5867, 0 -> 5
a : 9.9103, 1 -> 4
a : 6.7965, 1 -> 7
b : 5.8150, 2 -> 1
c : 8.6793, 2 -> 5
d : 7.1800, 3 -> 6
b : -6.7343, 3 -> 5
d : 0.1363, 4 -> 7
b : -5.3046, 4 -> 2
c : -1.2766, 5 -> 4
c : 4.5253, 5 -> 2
a : 2.3280, 6 -> 3
b : 4.1946, 6 -> 6
a : -6.3125, 7 -> 7
d : 1.2555, 7 -> 3
