a : -3.6248, 0 -> 6
b : -8.0999, 0 -> 2
c : 0.2072, 0 -> 4
d : -9.9767, 0 -> 7
a : -7.6726, 1 -> 1
b : -5.3355, 1 -> 6
c : -3.0948, 1 -> 3
d : -6.7860, 1 -> 5
a : 3.1943, 2 -> 6
b : -8.7797, 2 -> 2
c : -7.4572, 2 -> 0
d : 5.6008, 2 -> 6
a : 0.5843, 3 -> 7
b : 7.9205, 3 -> 7
c : 8.5406, 3 -> 0
d : -2.4466, 3 -> 5
a : -1.9176, 4 -> 6
b : -0.0227, 4 -> 7
c : 9.8012, 4 -> 0
d : -4.1465, 4 -> 7
a : -6.5377, 5 -> 7
b : -8.2538, 5 -> 0
c : 6.9990, 5 -> 5
d : 7.9040, 5 -> 2
a : -8.5370, 6 -> 7
b : 5.1829, 6 -> 1
c : 3.2503, 6 -> 6
d : 3.9162, 6 -> 3
a : 6.0167, 7 -> 5
b : -2.6311, 7 -> 7
c : -1.8401, 7 -> 1
d : 2.5997, 7 -> 3
a : 7.1225, 0 -> 5
c : 9.1086, 0 -> 3
a : -3.0284, 1 -> 4
b : 0.9073, 1 -> 6
d : -8.6564, 2 -> 3
d : -0.6965, 2 -> 0
a : 4.1644, 3 -> 4
d : 1.1336, 3 -> 0
a : -2.3460, 4 -> 3
b : 0.4662, 4 -> 4
b : -0.8933, 5 -> 3
d : -9.3031, 5 -> 7
c : -0.6798, 6 -> 2
c : 4.8661, 6 -> 5
c : 3.3176, 7 -> 5
d : -0.3023, 7 -> 5
