a : -2.1876, 0 -> 3
b : 1.1315, 0 -> 0
c : 2.1617, 0 -> 7
d : 5.0704, 0 -> 4
a : 2.1858, 1 -> 2
b : 2.0729, 1 -> 4
c : 7.7102, 1 -> 2
d : -5.8693, 1 -> 5
a : 7.7169, 2 -> 3
b : -3.6307, 2 -> 0
c : -4.1064, 2 -> 0
d : 3.4108, 2 -> 2
a : -4.3736, 3 -> 1
b : -2.4711, 3 -> 0
c : 5.6908, 3 -> 0
d : -9.0644, 3 -> 3
a : 1.0167, 4 -> 4
b : -9.2128, 4 -> 6
c : -6.0186, 4 -> 0
d : 4.5067, 4 -> 7
a : -0.9584, 5 -> 4
b : -6.5085, 5 -> 1
c : -9.7055, 5 -> 5
d : -5.3296, 5 -> 6
a : 7.7278, 6 -> 7
b : 5.4025, 6 -> 2
c : 5.2830, 6 -> 3
d : 1.4902, 6 -> 1
a : -5.7471, 7 -> 3
b : -7.1368, 7 -> 1
c : -7.9107, 7 -> 0
d : 3.3909, 7 -> 3
b : 0.3595, 0 -> 2
b : 6.8552, 0 -> 1
a : -8.4803, 1 -> 1
c : -8.7170, 1 -> 2
c : 2.0927, 2 -> 3
c : -3.5862, 2 -> 5
d : 4.0915, 3 -> 5
b : 5.8915, 3 -> 6
b : 7.9297, 4 -> 7
c : -2.0814, 4 -> 0
c : 6.3225, 5 -> 1
b : -2.3317, 5 -> 6
d : 5.5729, 6 -> 0
d : -3.7574, 6 -> 7
a : -0.5822, 7 -> 7
c : 1.5131, 7 -> 0
