a : 5.5135, 0 -> 3
b : 5.0754, 0 -> 4
c : -7.9820, 0 -> 1
d : -3.9672, 0 -> 1
a : 8.0208, 1 -> 2
b : -2.7417, 1 -> 7
c : -5.6825, 1 -> 2
d : -3.8523, 1 -> 5
a : -7.4818, 2 -> 2
b : -4.1462, 2 -> 4
c : 3.0994, 2 -> 2
d : -2.9888, 2 -> 4
a : -1.5759, 3 -> 5
b : -7.6102, 3 -> 5
c : 0.2988, 3 -> 7
d : 4.2307, 3 -> 0
a : -8.3318, 4 -> 0
b : 9.3531, 4 -> 4
c : -5.7160, 4 -> 1
d : 8.4818, 4 -> 5
a : -7.8713, 5 -> 7
b : 0.2617, 5 -> 0
c : 7.7581, 5 -> 0
d : 4.6469, 5 -> 5
a : -1.6453, 6 -> 2
b : -3.8923, 6 -> 0
c : -1.2239, 6 -> 2
d : -5.0573, 6 -> 4
a : -1.4232, 7 -> 1
b : -0.9669, 7 -> 2
c : -2.8759, 7 -> 5
d : 1.0793, 7 -> 6
d : 0.9406, 0 -> 1
d : -6.2803, 0 -> 5
d : 3.7391, 1 -> 5
d : -4.6196, 1 -> 3
d : 3.2593, 2 -> 2
b : 2.4060, 2 -> 2
d : 9.9966, 3 -> 4
b : -3.8063, 3 -> 6
b : 7.1613, 4 -> 6
d : 4.8190, 4 -> 4
c : -7.9422, 5 -> 2
d : -1.2765, 5 -> 5
c : 0.9343, 6 -> 7
d : 2.1406, 6 -> 0
b : -4.6648, 7 -> 6
c : 6.0779, 7 -> 3
