a : 8.6488, 0 -> 0
b : 2.6755, 0 -> 0
c : 2.2519, 0 -> 6
d : -8.2297, 0 -> 1
a : 5.1415, 1 -> 3
b : 8.0664, 1 -> 5
c : -0.2398, 1 -> 7
d : 4.2706, 1 -> 3
a : -8.1203, 2 -> 4
b : -5.9222, 2 -> 5
c : 7.7466, 2 -> 6
d : 7.5068, 2 -> 2
a : -3.8508, 3 -> 4
b : -0.1927, 3 -> 3
c : 3.1943, 3 -> 2
d : 3.0835, 3 -> 1
a : 3.6757, 4 -> 7
b : -0.9515, 4 -> 2
c : -3.5314, 4 -> 6
d : -6.5772, 4 -> 3
a : -3.7328, 5 -> 6
b : 8.5716, 5 -> 3
c : -7.3284, 5 -> 6
d : -9.6268, 5 -> 1
a : 9.0775, 6 -> 2
b : 6.8027, 6 -> 4
c : 2.8849, 6 -> 1
d : -4.6883, 6 -> 4
a : 4.8973, 7 -> 0
b : -7.9605, 7 -> 0
c : -1.2702, 7 -> 3
d : 2.8032, 7 -> 0
a : 2.4796, 0 -> 6
b : 7.7537, 0 -> 7
b : 7.8786, 1 -> 4
a : -5.8694, 1 -> 2
c : 6.2308, 2 -> 4
d : -7.6171, 2 -> 0
a : -0.0619, 3 -> 3
d : -7.3468, 3 -> 1
a : -0.5914, 4 -> 2
b : -6.0365, 4 -> 7
a : 2.1757, 5 -> 5
b : -2.0999, 5 -> 2
a : 4.3820, 6 -> 1
a : 5.7106, 6 -> 0
a : -8.0471, 7 -> 6
c : -5.9923, 7 -> 6
