a : -1.1348, 0 -> 4
b : -8.8223, 0 -> 7
c : -8.1286, 0 -> 4
d : 7.2119, 0 -> 6
a : -1.9268, 1 -> 6
b : 6.6280, 1 -> 3
c : -4.9993, 1 -> 0
d : -4.8642, 1 -> 0
a : 7.7338, 2 -> 0
b : 6.4311, 2 -> 6
c : 4.1368, 2 -> 4
d : -8.5348, 2 -> 5
a : 6.3928, 3 -> 7
b : -7.9474, 3 -> 6
c : 2.0358, 3 -> 6
d : -4.5346, 3 -> 6
a : -0.0657, 4 -> 5
b : 5.2173, 4 -> 1
c : -9.2476, 4 -> 1
d : 7.2447, 4 -> 1
a : 2.5661, 5 -> 6
b : 0.1338, 5 -> 7
c : 8.6064, 5 -> 4
d : -2.9281, 5 -> 6
a : -3.1429, 6 -> 4
b : 8.6152, 6 -> 6
c : -8.9754, 6 -> 0
d : -6.8457, 6 -> 6
a : -5.8376, 7 -> 1
b : 6.0021, 7 -> 0
c : -4.4091, 7 -> 0
d : 8.5699, 7 -> 0
a : -3.0786, 0 -> 5
d : -7.9096, 0 -> 3
b : 4.4724, 1 -> 7
b : -5.6098, 1 -> 4
a : 8.1869, 2 -> 2
c : 2.5842, 2 -> 2
d : -3.0905, 3 -> 1
a : 3.9281, 3 -> 7
d : 1.6027, 4 -> 4
b : -4.3704, 4 -> 4
d : -9.2417, 5 -> 2
c : -6.8891, 5 -> 6
d : -7.1755, 6 -> 7
d : -3.7466, 6 -> 4
c : -5.3273, 7 -> 1
d : 4.4516, 7 -> 1
