a : -2.8881, 0 -> 6
b : -6.5466, 0 -> 2
c : 9.6695, 0 -> 0
d : -1.9983, 0 -> 4
a : 4.9971, 1 -> 3
b : -8.4777, 1 -> 2
c : -6.9606, 1 -> 3
d : -2.0054, 1 -> 2
a : 8.1866, 2 -> 5
b : 5.6530, 2 -> 6
c : 4.0867, 2 -> 3
d : 0.6214, 2 -> 4
a : -1.2769, 3 -> 4
b : -3.4018, 3 -> 5
c : -2.0905, 3 -> 1
d : -1.7980, 3 -> 1
a : -2.0659, 4 -> 6
b : 6.2067, 4 -> 1
c : -6.0332, 4 -> 4
d : -6.5682, 4 -> 1
a : -2.8760, 5 -> 0
b : 3.7424, 5 -> 3
c : 8.1903, 5 -> 5
d : 6.2709, 5 -> 1
a : 8.9568, 6 -> 4
b : -5.9995, 6 -> 7
c : 5.8787, 6 -> 3
d : -3.3457, 6 -> 0
a : -0.9924, 7 -> 1
b : -8.5900, 7 -> 2
c : 3.4742, 7 -> 2
d : 6.6895, 7 -> 1
d : 6.3746, 0 -> 4
d : 9.2248, 0 -> 0
c : 5.3452, 1 -> 5
c : 9.7427, 1 -> 0
b : 4.6846, 2 -> 3
b : -1.1155, 2 -> 1
d : 6.6176, 3 -> 7
a : 0.6058, 3 -> 1
d : 5.2261, 4 -> 1
b : -3.6840, 4 -> 7
d : -5.2153, 5 -> 6
d : -4.9552, 5 -> 2
d : 6.3283, 6 -> 0
c : -5.4646, 6 -> 5
b : -3.2257, 7 -> 7
b : 4.0751, 7 -> 0
