a : -7.2570, 0 -> 2
b : 1.7788, 0 -> 3
c : -8.0247, 0 -> 2
d : 7.5193, 0 -> 4
a : -0.6817, 1 -> 3
b : -4.4003, 1 -> 2
c : 9.9221, 1 -> 1
d : 4.4499, 1 -> 5
a : -9.3150, 2 -> 6
b : -1.4155, 2 -> 3
c : -8.3698, 2 -> 1
d : -6.7508, 2 -> 7
a : 0.1738, 3 -> 1
b : -3.3278, 3 -> 7
c : -5.0353, 3 -> 5
d : 2.0100, 3 -> 7
a : 0.6880, 4 -> 2
b : -9.1533, 4 -> 7
c : 9.8950, 4 -> 6
d : 8.7969, 4 -> 4
a : 4.2207, 5 -> 7
b : 7.5297, 5 -> 5
c : -2.7240, 5 -> 7
d : -2.5206, 5 -> 6
a : -7.1825, 6 -> 6
b : -6.0765, 6 -> 4
c : -5.2794, 6 -> 7
d : -6.7688, 6 -> 1
a : -8.4884, 7 -> 4
b : -6.2359, 7 -> 7
c : 2.5474, 7 -> 3
d : 3.5711, 7 -> 7
b : 3.1462, 0 -> 2
c : -0.5284, 0 -> 3
c : -9.8258, 1 -> 1
d : -9.7242, 1 -> 2
d : -9.2119, 2 -> 2
b : 7.6609, 2 -> 5
b : 4.0825, 3 -> 2
c : 3.3800, 3 -> 5
c : -2.8176, 4 -> 4
c : -2.2587, 4 -> 2
d : 8.3197, 5 -> 0
a : -7.1932, 5 -> 5
c : -6.5629, 6 -> 3
b : -8.7143, 6 -> 4
b : 8.5111, 7 -> 3
d : 0.2078, 7 -> 2
