a : 2.1538, 0 -> 2
b : 4.1695, 0 -> 5
c : 8.9550, 0 -> 0
d : -5.1377, 0 -> 7
a : 8.5839, 1 -> 5
b : -5.5048, 1 -> 0
c : -6.8810, 1 -> 3
d : 2.4422, 1 -> 4
a : -5.3980, 2 -> 3
b : 2.9294, 2 -> 0
c : -8.0251, 2 -> 7
d : -1.9419, 2 -> 3
a : -3.5757, 3 -> 2
b : 1.0243, 3 -> 4
c : 5.8551, 3 -> 1
d : 8.0781, 3 -> 5
a : -4.5702, 4 -> 4
b : 4.3725, 4 -> 2
c : -8.6629, 4 -> 4
d : -5.4340, 4 -> 3
a : 2.3589, 5 -> 3
b : 6.9451, 5 -> 6
c : 4.3691, 5 -> 6
d : 3.9814, 5 -> 4
a : -1.1560, 6 -> 1
b : 1.1856, 6 -> 0
c : -7.8820, 6 -> 5
d : 0.1577, 6 -> 0
a : -2.8154, 7 -> 1
b : 1.9565, 7 -> 7
c : -8.4648, 7 -> 4
d : -0.9121, 7 -> 7
a : 0.5996, 0 -> 7
b : -6.5368, 0 -> 7
a : -0.1607, 1 -> 4
a : 8.3252, 1 -> 1
c : 0.0005, 2 -> 4
d : 3.3421, 2 -> 3
a : -8.3732, 3 -> 4
d : 0.0257, 3 -> 4
c : 3.4924, 4 -> 7
d : -7.5138, 4 -> 3
d : 5.5499, 5 -> 1
a : -5.9708, 5 -> 5
c : 6.2297, 6 -> 1
a : 3.0806, 6 -> 0
a : 1.7841, 7 -> 7
a : -3.9399, 7 -> 3
