a : 8.2071, 0 -> 4
b : 1.8197, 0 -> 5
c : -5.6207, 0 -> 6
d : -4.3180, 0 -> 3
a : 3.9728, 1 -> 1
b : 4.1483, 1 -> 6
c : -6.4609, 1 -> 6
d : -3.4091, 1 -> 7
a : -6.9260, 2 -> 4
b : -6.9208, 2 -> 6
c : -6.0278, 2 -> 1
d : 9.7693, 2 -> 2
a : -9.4467, 3 -> 6
b : 3.9976, 3 -> 2
c : -0.1783, 3 -> 0
d : 3.2316, 3 -> 5
a : 0.8262, 4 -> 7
b : 3.6021, 4 -> 4
c : -0.4935, 4 -> 5
d : 9.4297, 4 -> 1
a : -2.0239, 5 -> 2
b : -1.1105, 5 -> 0
c : 0.3409, 5 -> 6
d : -7.5973, 5 -> 7
a : 8.5438, 6 -> 2
b : 9.2971, 6 -> 5
c : 6.8754, 6 -> 2
d : 6.6305, 6 -> 6
a : -0.4536, 7 -> 0
b : -6.9954, 7 -> 5
c : -2.2631, 7 -> 0
d : -3.6480, 7 -> 3
b : -1.7423, 0 -> 2
a : 1.4566, 0 -> 6
b : -6.9251, 1 -> 4
a : 1.0672, 1 -> 6
d : -7.5768, 2 -> 3
c : -1.3622, 2 -> 4
a : 3.7008, 3 -> 4
b : 1.7654, 3 -> 1
b : 5.3883, 4 -> 0
d : 1.4576, 4 -> 2
d : 7.4563, 5 -> 0
c : 6.0743, 5 -> 4
d : 2.5252, 6 -> 3
c : -6.8593, 6 -> 1
c : 0.6942, 7 -> 3
d : 7.2953, 7 -> 4
