a : 9.9496, 0 -> 6
b : -4.4090, 0 -> 4
c : 4.1726, 0 -> 0
d : 1.9064, 0 -> 1
a : -9.7839, 1 -> 3
b : 9.7014, 1 -> 4
c : -6.0397, 1 -> 1
d : -7.9376, 1 -> 1
a : -9.0430, 2 -> 3
b : 8.9254, 2 -> 2
c : 4.9158, 2 -> 4
d : -9.4147, 2 -> 3
a : 8.7310, 3 -> 6
b : -4.0629, 3 -> 7
c : 4.9894, 3 -> 0
d : -4.1759, 3 -> 1
a : -0.8347, 4 -> 7
b : -9.8331, 4 -> 3
c : 8.7592, 4 -> 3
d : 5.8334, 4 -> 6
a : -6.4306, 5 -> 6
b : -3.4897, 5 -> 7
c : -2.1969, 5 -> 7
d : -9.1676, 5 -> 3
a : 9.9294, 6 -> 6
b : 2.2927, 6 -> 6
c : -6.2826, 6 -> 6
d : 0.9824, 6 -> 4
a : -4.2544, 7 -> 7
b : 3.8455, 7 -> 6
c : -0.8225, 7 -> 4
d : 6.4861, 7 -> 3
a : 2.6532, 0 -> 0
b : 1.1385, 0 -> 4
a : -0.7656, 1 -> 0
d : 8.6857, 1 -> 7
b : 0.9939, 2 -> 6
c : 4.2138, 2 -> 6
d : 4.1398, 3 -> 4
c : -5.9134, 3 -> 2
b : -9.7066, 4 -> 3
d : 7.4731, 4 -> 3
d : -0.5435, 5 -> 0
a : -1.1229, 5 -> 3
c : -0.4508, 6 -> 1
d : -5.8934, 6 -> 0
d : -1.8358, 7 -> 1
a : 7.3285, 7 -> 5
