a : -0.4664, 0 -> 7
b : -8.3723, 0 -> 5
c : 9.5042, 0 -> 2
d : 6.9557, 0 -> 6
a : -8.4049, 1 -> 3
b : -9.3213, 1 -> 0
c : -0.4535, 1 -> 1
d : -0.5038, 1 -> 6
a : 1.5096, 2 -> 3
b : 5.5904, 2 -> 7
c : 3.6965, 2 -> 5
d : 9.4538, 2 -> 4
a : 9.6278, 3 -> 0
b : 9.7738, 3 -> 5
c : -6.9307, 3 -> 4
d : 9.9926, 3 -> 6
a : -0.2488, 4 -> 1
b : 5.1329, 4 -> 1
c : -4.2418, 4 -> 0
d : -4.4557, 4 -> 6
a : -9.2031, 5 -> 1
b : -2.0453, 5 -> 2
c : 2.2788, 5 -> 5
d : 1.2208, 5 -> 6
a : 9.2274, 6 -> 2
b : 2.9802, 6 -> 0
c : 0.0580, 6 -> 1
d : -1.1035, 6 -> 1
a : 4.5756, 7 -> 3
b : -6.9792, 7 -> 2
c : -5.8317, 7 -> 4
d : 6.6287, 7 -> 7
a : -0.2825, 0 -> 2
a : -1.4585, 0 -> 4
b : -4.8658, 1 -> 0
d : -7.2558, 1 -> 5
a : -9.3043, 2 -> 5
c : 9.2551, 2 -> 1
a : 0.1094, 3 -> 1
b : -4.7419, 3 -> 0
b : 1.8508, 4 -> 6
d : -2.0288, 4 -> 5
d : -1.8796, 5 -> 0
c : -5.8940, 5 -> 2
b : -3.3200, 6 -> 2
a : -7.3982, 6 -> 1
a : 3.5285, 7 -> 3
c : 7.1592, 7 -> 5
