a : 8.0658, 0 -> 5
b : -9.6669, 0 -> 0
a : -2.0322, 1 -> 1
b : -7.7490, 1 -> 4
a : -8.8132, 2 -> 4
b : 3.7827, 2 -> 7
a : 5.6848, 3 -> 0
b : 9.1030, 3 -> 7
a : -6.3399, 4 -> 3
b : -8.2596, 4 -> 4
a : -9.0453, 5 -> 4
b : -9.9046, 5 -> 5
a : -9.7249, 6 -> 0
b : 8.3465, 6 -> 4
a : 1.2125, 7 -> 4
b : 6.0118, 7 -> 2
a : 3.1464, 0 -> 2
b : -2.4686, 1 -> 0
b : -6.6611, 2 -> 3
a : -6.7582, 3 -> 3
b : 5.8192, 4 -> 0
b : -2.6959, 5 -> 2
b : -1.6927, 6 -> 7
a : 1.8511, 7 -> 2
a : -6.2041, 3 -> 6
b : 2.9902, 2 -> 1
