a : -4.5334, 0 -> 2
b : -2.3177, 0 -> 0
a : 9.1173, 1 -> 6
b : 9.4365, 1 -> 2
a : 7.7250, 2 -> 7
b : 9.7593, 2 -> 6
a : 7.5618, 3 -> 2
b : 7.0516, 3 -> 5
a : 3.9709, 4 -> 6
b : -9.0960, 4 -> 5
a : 6.3034, 5 -> 7
b : 4.0631, 5 -> 7
a : 9.2469, 6 -> 2
b : 6.0294, 6 -> 6
a : 9.7218, 7 -> 5
b : -4.1658, 7 -> 6
b : 3.2129, 0 -> 6
b : -6.5578, 1 -> 0
b : 2.0903, 2 -> 1
b : 4.6152, 3 -> 7
b : -2.0247, 4 -> 7
a : 0.7978, 5 -> 2
a : -4.4125, 6 -> 6
a : 2.8058, 7 -> 0
a : -6.7731, 5 -> 3
b : 9.9330, 3 -> 4
