a : -2.6307, 0 -> 7
b : 7.7893, 0 -> 3
c : 3.8335, 0 -> 0
d : 4.3447, 0 -> 3
a : -9.9044, 1 -> 4
b : -1.4580, 1 -> 5
c : -3.5982, 1 -> 7
d : 3.5305, 1 -> 4
a : -3.9423, 2 -> 4
b : 0.0404, 2 -> 2
c : 4.4141, 2 -> 1
d : 1.1688, 2 -> 2
a : 3.3036, 3 -> 7
b : -9.7619, 3 -> 6
c : 4.9024, 3 -> 4
d : 3.5103, 3 -> 2
a : -6.9887, 4 -> 0
b : 7.1157, 4 -> 2
c : -9.1087, 4 -> 4
d : 3.2444, 4 -> 1
a : -7.4766, 5 -> 1
b : -9.0961, 5 -> 3
c : -0.7002, 5 -> 6
d : 1.8690, 5 -> 0
a : -7.8313, 6 -> 1
b : -3.3405, 6 -> 6
c : -7.2020, 6 -> 1
d : 8.1080, 6 -> 7
a : 1.4993, 7 -> 6
b : -3.7583, 7 -> 7
c : -4.5979, 7 -> 6
d : 4.0805, 7 -> 3
c : 2.4137, 0 -> 3
a : -1.2571, 0 -> 2
b : -2.3162, 1 -> 4
a : 4.2386, 1 -> 5
d : -1.5165, 2 -> 6
a : -6.3923, 2 -> 1
b : 3.1531, 3 -> 1
a : 3.4769, 3 -> 5
d : -6.3361, 4 -> 6
b : -5.0416, 4 -> 6
d : -4.3698, 5 -> 7
d : 5.2581, 5 -> 7
b : -6.1858, 6 -> 7
c : -1.2448, 6 -> 4
a : -1.6189, 7 -> 2
a : -0.9279, 7 -> 5
