a : -4.7506, 0 -> 2
b : 5.3106, 0 -> 3
c : 2.7567, 0 -> 6
d : 6.0443, 0 -> 4
a : -4.7191, 1 -> 3
b : -5.3359, 1 -> 4
c : 3.0720, 1 -> 2
d : -9.6471, 1 -> 2
a : -7.9784, 2 -> 6
b : 0.3492, 2 -> 2
c : -9.3379, 2 -> 4
d : -7.4683, 2 -> 4
a : -3.5839, 3 -> 7
b : -5.1760, 3 -> 4
c : 7.5971, 3 -> 2
d : 6.3340, 3 -> 2
a : 7.0071, 4 -> 7
b : -0.7195, 4 -> 6
c : -5.4442, 4 -> 0
d : 7.0522, 4 -> 7
a : -1.4105, 5 -> 4
b : -2.2846, 5 -> 0
c : -6.8176, 5 -> 7
d : -6.7964, 5 -> 3
a : -2.7035, 6 -> 2
b : -5.0548, 6 -> 7
c : -5.9720, 6 -> 0
d : 9.2227, 6 -> 3
a : -9.7573, 7 -> 6
b : -4.2258, 7 -> 0
c : 7.4048, 7 -> 6
d : 5.9855, 7 -> 7
d : 6.8944, 0 -> 5
b : -7.4312, 0 -> 4
b : 7.2341, 1 -> 4
b : -2.0198, 1 -> 6
c : 3.1505, 2 -> 4
b : -6.2988, 2 -> 2
c : -7.0008, 3 -> 4
c : -1.2472, 3 -> 7
d : -1.7116, 4 -> 5
c : 6.0588, 4 -> 1
b : 0.6906, 5 -> 0
c : 9.0546, 5 -> 3
b : 1.1023, 6 -> 4
d : -9.6395, 6 -> 4
c : -3.9040, 7 -> 4
a : 2.5674, 7 -> 2
