a : -756.0000, 0 -> 4
b : 946.0000, 0 -> 4
c : -118.0000, 0 -> 0
d : -823.0000, 0 -> 0
a : -235.0000, 1 -> 0
b : 349.0000, 1 -> 4
c : -93.0000, 1 -> 2
d : 266.0000, 1 -> 5
a : -41.0000, 2 -> 3
b : -584.0000, 2 -> 1
c : 57.0000, 2 -> 4
d : -136.0000, 2 -> 3
a : 404.0000, 3 -> 1
b : 197.0000, 3 -> 5
c : -215.0000, 3 -> 3
d : -87.0000, 3 -> 1
a : 830.0000, 4 -> 4
b : 772.0000, 4 -> 4
c : 110.0000, 4 -> 1
d : -732.0000, 4 -> 4
a : 34.0000, 5 -> 5
b : -483.0000, 5 -> 3
c : 611.0000, 5 -> 1
d : -343.0000, 5 -> 4
a : -845.0000, 0 -> 5
d : 478.0000, 0 -> 3
d : -483.0000, 1 -> 2
c : -557.0000, 1 -> 3
b : 22.0000, 2 -> 2
c : 525.0000, 2 -> 2
a : -449.0000, 3 -> 0
c : -718.0000, 3 -> 0
b : 445.0000, 4 -> 1
c : -756.0000, 4 -> 0
d : 763.0000, 5 -> 2
c : 688.0000, 5 -> 3
