a : 427.0000, 0 -> 2
b : -896.0000, 0 -> 0
c : 812.0000, 0 -> 0
a : -149.0000, 1 -> 1
b : 832.0000, 1 -> 1
c : 158.0000, 1 -> 0
a : 649.0000, 2 -> 7
b : -927.0000, 2 -> 7
c : -323.0000, 2 -> 2
a : -294.0000, 3 -> 1
b : -259.0000, 3 -> 2
c : -383.0000, 3 -> 7
a : -872.0000, 4 -> 6
b : 170.0000, 4 -> 6
c : 874.0000, 4 -> 4
a : 39.0000, 5 -> 7
b : -493.0000, 5 -> 1
c : 646.0000, 5 -> 5
a : 434.0000, 6 -> 1
b : -767.0000, 6 -> 6
c : -789.0000, 6 -> 3
a : -581.0000, 7 -> 1
b : -461.0000, 7 -> 7
c : -507.0000, 7 -> 7
a : 1000.0000, 0 -> 1
b : -323.0000, 1 -> 7
c : 890.0000, 2 -> 5
c : 233.0000, 3 -> 2
a : 963.0000, 4 -> 4
c : 397.0000, 5 -> 3
b : -359.0000, 6 -> 3
a : 739.0000, 7 -> 5
a : 592.0000, 7 -> 4
