a : 167.0000, 0 -> 2
b : 700.0000, 0 -> 5
c : -634.0000, 0 -> 6
a : 64.0000, 1 -> 6
b : 210.0000, 1 -> 3
c : 89.0000, 1 -> 4
a : 970.0000, 2 -> 0
b : 709.0000, 2 -> 1
c : -128.0000, 2 -> 0
a : -954.0000, 3 -> 1
b : -983.0000, 3 -> 1
c : -223.0000, 3 -> 2
a : 619.0000, 4 -> 1
b : 799.0000, 4 -> 4
c : 887.0000, 4 -> 2
a : 391.0000, 5 -> 4
b : 171.0000, 5 -> 1
c : 540.0000, 5 -> 2
a : -547.0000, 6 -> 0
b : 545.0000, 6 -> 7
c : 242.0000, 6 -> 5
a : 887.0000, 7 -> 3
b : -799.0000, 7 -> 0
c : -401.0000, 7 -> 1
c : 133.0000, 0 -> 1
b : 437.0000, 1 -> 5
a : 16.0000, 2 -> 3
a : -569.0000, 3 -> 5
a : -482.0000, 4 -> 2
c : -102.0000, 5 -> 5
c : 304.0000, 6 -> 0
b : -348.0000, 7 -> 1
