a : 347.0000, 0 -> 2
b : 396.0000, 0 -> 1
c : -430.0000, 0 -> 4
d : 564.0000, 0 -> 4
a : 473.0000, 1 -> 4
b : -253.0000, 1 -> 3
c : 407.0000, 1 -> 5
d : 273.0000, 1 -> 5
a : -338.0000, 2 -> 3
b : 733.0000, 2 -> 4
c : 884.0000, 2 -> 1
d : -951.0000, 2 -> 5
a : -144.0000, 3 -> 3
b : -495.0000, 3 -> 5
c : -679.0000, 3 -> 4
d : 645.0000, 3 -> 5
a : -154.0000, 4 -> 1
b : -92.0000, 4 -> 2
c : -715.0000, 4 -> 1
d : 157.0000, 4 -> 5
a : -996.0000, 5 -> 5
b : 935.0000, 5 -> 0
c : 702.0000, 5 -> 1
d : -185.0000, 5 -> 1
b : -60.0000, 0 -> 2
a : 377.0000, 0 -> 5
d : 583.0000, 1 -> 3
b : 473.0000, 1 -> 5
a : 934.0000, 2 -> 4
c : -835.0000, 2 -> 2
a : 13.0000, 3 -> 4
a : 962.0000, 3 -> 1
b : 458.0000, 4 -> 4
b : -56.0000, 4 -> 3
b : -86.0000, 5 -> 4
d : 123.0000, 5 -> 4
