a : 625.0000, 0 -> 4
b : 361.0000, 0 -> 1
c : 667.0000, 0 -> 4
a : -90.0000, 1 -> 1
b : 736.0000, 1 -> 0
c : -641.0000, 1 -> 4
a : -404.0000, 2 -> 2
b : -810.0000, 2 -> 3
c : -395.0000, 2 -> 3
a : 796.0000, 3 -> 0
b : -813.0000, 3 -> 0
c : -495.0000, 3 -> 4
a : -88.0000, 4 -> 0
b : -933.0000, 4 -> 4
c : -446.0000, 4 -> 3
a : -126.0000, 5 -> 3
b : -681.0000, 5 -> 2
c : 76.0000, 5 -> 3
b : -469.0000, 0 -> 3
a : 259.0000, 1 -> 4
a : 903.0000, 2 -> 1
a : -307.0000, 3 -> 2
c : -263.0000, 4 -> 0
b : -197.0000, 5 -> 1
a : -476.0000, 3 -> 5
