a : 217.0000, 0 -> 1
b : 50.0000, 0 -> 3
c : 756.0000, 0 -> 2
d : 583.0000, 0 -> 4
a : 861.0000, 1 -> 2
b : 954.0000, 1 -> 2
c : -937.0000, 1 -> 4
d : 951.0000, 1 -> 1
a : -379.0000, 2 -> 0
b : -560.0000, 2 -> 0
c : -512.0000, 2 -> 3
d : 550.0000, 2 -> 2
a : 601.0000, 3 -> 2
b : -118.0000, 3 -> 2
c : 120.0000, 3 -> 1
d : 965.0000, 3 -> 1
a : 573.0000, 4 -> 1
b : 635.0000, 4 -> 0
c : 704.0000, 4 -> 1
d : 995.0000, 4 -> 1
d : -313.0000, 0 -> 2
b : -109.0000, 0 -> 1
c : 281.0000, 1 -> 0
b : -426.0000, 1 -> 0
a : -372.0000, 2 -> 2
c : 925.0000, 2 -> 4
b : 57.0000, 3 -> 1
c : -795.0000, 3 -> 3
d : -195.0000, 4 -> 0
d : -546.0000, 4 -> 4
