a : -855.0000, 0 -> 4
b : 955.0000, 0 -> 4
c : -625.0000, 0 -> 5
a : 593.0000, 1 -> 5
b : 904.0000, 1 -> 7
c : -283.0000, 1 -> 7
a : 986.0000, 2 -> 7
b : -324.0000, 2 -> 6
c : 29.0000, 2 -> 2
a : -503.0000, 3 -> 0
b : -554.0000, 3 -> 5
c : 446.0000, 3 -> 5
a : 398.0000, 4 -> 3
b : 21.0000, 4 -> 4
c : -765.0000, 4 -> 2
a : -720.0000, 5 -> 5
b : -970.0000, 5 -> 4
c : 137.0000, 5 -> 4
a : -402.0000, 6 -> 6
b : 155.0000, 6 -> 2
c : -6.0000, 6 -> 1
a : -971.0000, 7 -> 1
b : 721.0000, 7 -> 4
c : 199.0000, 7 -> 4
c : 538.0000, 0 -> 3
c : -523.0000, 1 -> 6
b : 109.0000, 2 -> 2
c : -979.0000, 3 -> 2
b : -642.0000, 4 -> 7
b : -76.0000, 5 -> 3
b : -449.0000, 6 -> 3
c : -312.0000, 7 -> 7
