a : 176.0000, 0 -> 0
b : -901.0000, 0 -> 3
c : -732.0000, 0 -> 2
d : -50.0000, 0 -> 2
a : -223.0000, 1 -> 4
b : 114.0000, 1 -> 4
c : -159.0000, 1 -> 4
d : -410.0000, 1 -> 4
a : -391.0000, 2 -> 3
b : -521.0000, 2 -> 0
c : 644.0000, 2 -> 3
d : 346.0000, 2 -> 2
a : -190.0000, 3 -> 2
b : 208.0000, 3 -> 0
c : 322.0000, 3 -> 3
d : 761.0000, 3 -> 2
a : 324.0000, 4 -> 0
b : -659.0000, 4 -> 3
c : 821.0000, 4 -> 2
d : 800.0000, 4 -> 0
b : -286.0000, 0 -> 0
c : -969.0000, 0 -> 1
b : 353.0000, 1 -> 2
d : 161.0000, 1 -> 3
b : 860.0000, 2 -> 4
a : -105.0000, 2 -> 1
b : 671.0000, 3 -> 4
b : -571.0000, 3 -> 3
a : -402.0000, 4 -> 4
c : 733.0000, 4 -> 1
