a : -965.0000, 0 -> 2
b : -577.0000, 0 -> 5
c : 431.0000, 0 -> 5
a : -412.0000, 1 -> 4
b : -912.0000, 1 -> 1
c : 64.0000, 1 -> 5
a : 972.0000, 2 -> 4
b : -679.0000, 2 -> 3
c : -964.0000, 2 -> 2
a : 796.0000, 3 -> 2
b : 917.0000, 3 -> 0
c : 400.0000, 3 -> 1
a : -228.0000, 4 -> 4
b : 325.0000, 4 -> 0
c : -774.0000, 4 -> 0
a : 489.0000, 5 -> 2
b : 826.0000, 5 -> 2
c : -713.0000, 5 -> 0
b : -573.0000, 0 -> 1
a : -796.0000, 1 -> 2
c : 889.0000, 2 -> 5
b : 398.0000, 3 -> 4
c : 78.0000, 4 -> 5
b : -431.0000, 5 -> 5
