a : 704.0000, 0 -> 4
b : -938.0000, 0 -> 3
c : 880.0000, 0 -> 3
a : -390.0000, 1 -> 0
b : 948.0000, 1 -> 2
c : -495.0000, 1 -> 0
a : -987.0000, 2 -> 5
b : 910.0000, 2 -> 1
c : 925.0000, 2 -> 2
a : 609.0000, 3 -> 3
b : -921.0000, 3 -> 1
c : 251.0000, 3 -> 6
a : 873.0000, 4 -> 3
b : -962.0000, 4 -> 6
c : -540.0000, 4 -> 4
a : -778.0000, 5 -> 6
b : 253.0000, 5 -> 5
c : 80.0000, 5 -> 1
a : 856.0000, 6 -> 2
b : -692.0000, 6 -> 5
c : -543.0000, 6 -> 0
b : -80.0000, 0 -> 2
c : 677.0000, 1 -> 2
c : -331.0000, 2 -> 0
b : -336.0000, 3 -> 3
c : -399.0000, 4 -> 2
b : 411.0000, 5 -> 3
a : -776.0000, 6 -> 4
