a : -74.0000, 0 -> 7
b : -810.0000, 0 -> 1
c : 468.0000, 0 -> 0
d : -438.0000, 0 -> 6
a : -210.0000, 1 -> 3
b : 353.0000, 1 -> 5
c : 493.0000, 1 -> 6
d : -666.0000, 1 -> 0
a : 518.0000, 2 -> 0
b : -362.0000, 2 -> 7
c : 925.0000, 2 -> 2
d : -83.0000, 2 -> 0
a : 123.0000, 3 -> 4
b : 525.0000, 3 -> 5
c : 436.0000, 3 -> 0
d : -527.0000, 3 -> 3
a : -611.0000, 4 -> 5
b : 699.0000, 4 -> 3
c : -990.0000, 4 -> 0
d : -552.0000, 4 -> 4
a : 287.0000, 5 -> 2
b : -501.0000, 5 -> 5
c : 683.0000, 5 -> 0
d : 531.0000, 5 -> 4
a : -453.0000, 6 -> 3
b : -145.0000, 6 -> 6
c : 551.0000, 6 -> 5
d : -823.0000, 6 -> 7
a : 686.0000, 7 -> 4
b : -778.0000, 7 -> 2
c : 445.0000, 7 -> 6
d : -453.0000, 7 -> 3
a : -249.0000, 0 -> 2
c : 115.0000, 0 -> 6
c : 851.0000, 1 -> 0
b : 375.0000, 1 -> 1
a : -629.0000, 2 -> 2
c : -86.0000, 2 -> 1
d : -258.0000, 3 -> 5
c : -189.0000, 3 -> 4
d : 498.0000, 4 -> 7
c : -276.0000, 4 -> 7
d : -129.0000, 5 -> 5
c : -401.0000, 5 -> 4
c : -93.0000, 6 -> 2
a : 903.0000, 6 -> 1
b : -962.0000, 7 -> 7
a : 216.0000, 7 -> 7
