a : -683.0000, 0 -> 3
b : 562.0000, 0 -> 4
c : 246.0000, 0 -> 2
a : -870.0000, 1 -> 3
b : 4.0000, 1 -> 5
c : -271.0000, 1 -> 3
a : 660.0000, 2 -> 2
b : -247.0000, 2 -> 1
c : -316.0000, 2 -> 2
a : -305.0000, 3 -> 2
b : -39.0000, 3 -> 3
c : -776.0000, 3 -> 3
a : -441.0000, 4 -> 5
b : -199.0000, 4 -> 5
c : -898.0000, 4 -> 0
a : -229.0000, 5 -> 0
b : 53.0000, 5 -> 1
c : -353.0000, 5 -> 5
b : 11.0000, 0 -> 5
c : -367.0000, 1 -> 0
c : -866.0000, 2 -> 5
c : -734.0000, 3 -> 2
c : 829.0000, 4 -> 5
c : 661.0000, 5 -> 3
