a : 799.0000, 0 -> 0
b : -500.0000, 0 -> 1
c : 998.0000, 0 -> 4
a : -206.0000, 1 -> 4
b : -836.0000, 1 -> 3
c : 473.0000, 1 -> 1
a : -898.0000, 2 -> 0
b : 359.0000, 2 -> 3
c : -146.0000, 2 -> 4
a : -273.0000, 3 -> 4
b : -997.0000, 3 -> 4
c : -718.0000, 3 -> 3
a : 853.0000, 4 -> 4
b : -263.0000, 4 -> 5
c : 922.0000, 4 -> 3
a : 995.0000, 5 -> 3
b : -635.0000, 5 -> 0
c : -462.0000, 5 -> 0
a : 591.0000, 0 -> 2
a : 292.0000, 1 -> 5
a : -427.0000, 2 -> 2
a : -663.0000, 3 -> 5
b : -58.0000, 4 -> 0
b : 558.0000, 5 -> 1
