a : -384.0000, 0 -> 5
b : 676.0000, 0 -> 4
c : 334.0000, 0 -> 1
d : 142.0000, 0 -> 4
a : -161.0000, 1 -> 4
b : 391.0000, 1 -> 5
c : 554.0000, 1 -> 5
d : 693.0000, 1 -> 1
a : -64.0000, 2 -> 4
b : 147.0000, 2 -> 1
c : 134.0000, 2 -> 4
d : -875.0000, 2 -> 3
a : -290.0000, 3 -> 2
b : -672.0000, 3 -> 4
c : -430.0000, 3 -> 0
d : 232.0000, 3 -> 4
a : -353.0000, 4 -> 4
b : 722.0000, 4 -> 2
c : -667.0000, 4 -> 1
d : 6.0000, 4 -> 3
a : 771.0000, 5 -> 5
b : 133.0000, 5 -> 5
c : 27.0000, 5 -> 5
d : -710.0000, 5 -> 2
c : -417.0000, 0 -> 0
d : -161.0000, 0 -> 2
c : -863.0000, 1 -> 3
b : -346.0000, 1 -> 0
d : 548.0000, 2 -> 2
b : -820.0000, 2 -> 2
b : -590.0000, 3 -> 1
c : -917.0000, 3 -> 2
a : -698.0000, 4 -> 5
c : -195.0000, 4 -> 5
c : -764.0000, 5 -> 0
a : -133.0000, 5 -> 0
