a : 657.0000, 0 -> 0
b : 415.0000, 0 -> 2
c : 336.0000, 0 -> 1
d : 598.0000, 0 -> 5
a : 640.0000, 1 -> 6
b : 779.0000, 1 -> 5
c : -894.0000, 1 -> 6
d : -455.0000, 1 -> 5
a : -268.0000, 2 -> 4
b : -366.0000, 2 -> 0
c : -420.0000, 2 -> 6
d : 901.0000, 2 -> 0
a : -125.0000, 3 -> 6
b : -387.0000, 3 -> 2
c : -946.0000, 3 -> 6
d : 597.0000, 3 -> 2
a : -333.0000, 4 -> 0
b : -641.0000, 4 -> 1
c : 395.0000, 4 -> 0
d : 747.0000, 4 -> 0
a : -936.0000, 5 -> 3
b : 302.0000, 5 -> 4
c : -835.0000, 5 -> 5
d : 914.0000, 5 -> 4
a : 422.0000, 6 -> 4
b : -655.0000, 6 -> 6
c : 37.0000, 6 -> 3
d : 763.0000, 6 -> 6
d : -333.0000, 0 -> 2
b : -395.0000, 0 -> 5
b : -842.0000, 1 -> 2
a : 193.0000, 1 -> 3
c : -791.0000, 2 -> 2
c : -636.0000, 2 -> 5
d : -513.0000, 3 -> 0
a : 408.0000, 3 -> 5
a : 691.0000, 4 -> 4
d : 623.0000, 4 -> 3
b : -25.0000, 5 -> 1
b : -690.0000, 5 -> 2
c : -115.0000, 6 -> 6
d : 165.0000, 6 -> 2
