a : -888.0000, 0 -> 2
b : 63.0000, 0 -> 3
c : -185.0000, 0 -> 3
d : -894.0000, 0 -> 2
a : -964.0000, 1 -> 2
b : -1000.0000, 1 -> 1
c : -277.0000, 1 -> 1
d : -377.0000, 1 -> 3
a : -936.0000, 2 -> 1
b : -540.0000, 2 -> 2
c : 327.0000, 2 -> 0
d : 132.0000, 2 -> 1
a : -150.0000, 3 -> 3
b : 175.0000, 3 -> 0
c : 973.0000, 3 -> 3
d : 70.0000, 3 -> 4
a : 427.0000, 4 -> 2
b : 622.0000, 4 -> 2
c : -859.0000, 4 -> 4
d : -490.0000, 4 -> 0
b : 771.0000, 0 -> 0
c : -142.0000, 0 -> 0
b : -118.0000, 1 -> 4
b : 630.0000, 1 -> 3
d : -696.0000, 2 -> 2
b : -807.0000, 2 -> 0
a : 925.0000, 3 -> 2
b : 8.0000, 3 -> 2
b : -916.0000, 4 -> 1
c : 821.0000, 4 -> 2
