a : 925.0000, 0 -> 0
b : -217.0000, 0 -> 0
c : -400.0000, 0 -> 2
d : -656.0000, 0 -> 1
a : -698.0000, 1 -> 0
b : 535.0000, 1 -> 2
c : -208.0000, 1 -> 2
d : -885.0000, 1 -> 3
a : -981.0000, 2 -> 3
b : 663.0000, 2 -> 3
c : 104.0000, 2 -> 3
d : -716.0000, 2 -> 1
a : 873.0000, 3 -> 3
b : -493.0000, 3 -> 3
c : -900.0000, 3 -> 0
d : -383.0000, 3 -> 2
c : -911.0000, 0 -> 1
a : 607.0000, 0 -> 3
b : -414.0000, 1 -> 3
d : -447.0000, 1 -> 0
b : 902.0000, 2 -> 0
a : 834.0000, 2 -> 0
c : -756.0000, 3 -> 2
d : 713.0000, 3 -> 3
