a : 864.0000, 0 -> 7
b : 292.0000, 0 -> 1
a : -43.0000, 1 -> 7
b : 507.0000, 1 -> 2
a : -174.0000, 2 -> 5
b : 448.0000, 2 -> 2
a : -208.0000, 3 -> 1
b : 110.0000, 3 -> 0
a : -708.0000, 4 -> 6
b : 431.0000, 4 -> 2
a : -778.0000, 5 -> 0
b : -609.0000, 5 -> 2
a : 455.0000, 6 -> 5
b : 473.0000, 6 -> 1
a : -683.0000, 7 -> 0
b : -38.0000, 7 -> 5
a : 418.0000, 0 -> 3
b : -686.0000, 1 -> 3
b : -682.0000, 2 -> 7
b : 968.0000, 3 -> 7
a : 258.0000, 4 -> 3
a : -933.0000, 5 -> 5
a : -451.0000, 6 -> 6
a : 515.0000, 7 -> 7
b : -350.0000, 5 -> 6
b : -487.0000, 6 -> 4
