a : 500.0000, 0 -> 4
b : 534.0000, 0 -> 1
c : -724.0000, 0 -> 5
a : 720.0000, 1 -> 3
b : 29.0000, 1 -> 2
c : -640.0000, 1 -> 1
a : -403.0000, 2 -> 1
b : -228.0000, 2 -> 0
c : 368.0000, 2 -> 1
a : 98.0000, 3 -> 0
b : -362.0000, 3 -> 1
c : -372.0000, 3 -> 5
a : 109.0000, 4 -> 2
b : -136.0000, 4 -> 2
c : 772.0000, 4 -> 0
a : 484.0000, 5 -> 1
b : -704.0000, 5 -> 5
c : 860.0000, 5 -> 1
c : 207.0000, 0 -> 2
a : 194.0000, 1 -> 2
c : -168.0000, 2 -> 4
c : -653.0000, 3 -> 1
b : 611.0000, 4 -> 4
a : 318.0000, 5 -> 4
