a : -678.0000, 0 -> 2
b : -976.0000, 0 -> 3
c : -69.0000, 0 -> 2
d : 629.0000, 0 -> 3
a : 398.0000, 1 -> 2
b : -955.0000, 1 -> 0
c : 973.0000, 1 -> 1
d : 0.0000, 1 -> 1
a : 920.0000, 2 -> 0
b : 63.0000, 2 -> 3
c : -583.0000, 2 -> 4
d : -165.0000, 2 -> 1
a : -238.0000, 3 -> 4
b : -831.0000, 3 -> 4
c : 766.0000, 3 -> 2
d : -860.0000, 3 -> 0
a : -500.0000, 4 -> 4
b : -369.0000, 4 -> 0
c : 425.0000, 4 -> 1
d : -591.0000, 4 -> 3
d : -260.0000, 0 -> 1
b : -932.0000, 0 -> 0
d : -794.0000, 1 -> 4
c : -328.0000, 1 -> 2
c : -851.0000, 2 -> 2
b : -76.0000, 2 -> 2
b : 869.0000, 3 -> 0
c : -834.0000, 3 -> 1
a : -650.0000, 4 -> 2
d : -846.0000, 4 -> 0
