a : -903.0000, 0 -> 5
b : 662.0000, 0 -> 5
c : 15.0000, 0 -> 6
a : 7.0000, 1 -> 2
b : -794.0000, 1 -> 0
c : -217.0000, 1 -> 6
a : 703.0000, 2 -> 2
b : 916.0000, 2 -> 5
c : 940.0000, 2 -> 4
a : 129.0000, 3 -> 6
b : 886.0000, 3 -> 3
c : 842.0000, 3 -> 4
a : 9.0000, 4 -> 0
b : 547.0000, 4 -> 0
c : 824.0000, 4 -> 7
a : 173.0000, 5 -> 6
b : 200.0000, 5 -> 1
c : -820.0000, 5 -> 6
a : 701.0000, 6 -> 6
b : 83.0000, 6 -> 7
c : 418.0000, 6 -> 4
a : -621.0000, 7 -> 4
b : -481.0000, 7 -> 1
c : 119.0000, 7 -> 3
b : -562.0000, 0 -> 7
b : -678.0000, 1 -> 1
a : 615.0000, 2 -> 0
a : -178.0000, 3 -> 5
a : -357.0000, 4 -> 5
a : 868.0000, 5 -> 7
c : -124.0000, 6 -> 2
b : 338.0000, 7 -> 4
