a : 587.0000, 0 -> 6
b : 108.0000, 0 -> 4
c : -120.0000, 0 -> 3
a : -608.0000, 1 -> 6
b : 173.0000, 1 -> 6
c : -429.0000, 1 -> 5
a : -608.0000, 2 -> 2
b : -256.0000, 2 -> 6
c : 495.0000, 2 -> 1
a : -574.0000, 3 -> 0
b : 241.0000, 3 -> 2
c : 840.0000, 3 -> 2
a : 312.0000, 4 -> 6
b : 756.0000, 4 -> 3
c : -870.0000, 4 -> 3
a : 4.0000, 5 -> 4
b : -149.0000, 5 -> 3
c : -559.0000, 5 -> 1
a : -703.0000, 6 -> 3
b : -510.0000, 6 -> 4
c : -323.0000, 6 -> 1
a : 887.0000, 0 -> 0
b : 694.0000, 1 -> 5
b : 806.0000, 2 -> 1
c : -489.0000, 3 -> 0
c : -71.0000, 4 -> 2
c : 879.0000, 5 -> 0
b : -378.0000, 6 -> 3
