a : 252.0000, 0 -> 2
b : -25.0000, 0 -> 2
c : 763.0000, 0 -> 4
d : 819.0000, 0 -> 2
a : 963.0000, 1 -> 3
b : -583.0000, 1 -> 1
c : -240.0000, 1 -> 1
d : -660.0000, 1 -> 0
a : 362.0000, 2 -> 3
b : -906.0000, 2 -> 1
c : 582.0000, 2 -> 0
d : 271.0000, 2 -> 3
a : 8.0000, 3 -> 1
b : -766.0000, 3 -> 0
c : 445.0000, 3 -> 1
d : -593.0000, 3 -> 1
a : 928.0000, 4 -> 1
b : 488.0000, 4 -> 4
c : 375.0000, 4 -> 4
d : -917.0000, 4 -> 4
a : -160.0000, 0 -> 4
c : -717.0000, 0 -> 0
b : 876.0000, 1 -> 0
a : -304.0000, 1 -> 0
b : 160.0000, 2 -> 3
c : -569.0000, 2 -> 1
b : 881.0000, 3 -> 2
d : -153.0000, 3 -> 2
c : -333.0000, 4 -> 1
b : -741.0000, 4 -> 1
