a : -315.0000, 0 -> 6
b : 20.0000, 0 -> 5
c : -513.0000, 0 -> 1
d : 318.0000, 0 -> 1
a : -963.0000, 1 -> 1
b : 977.0000, 1 -> 6
c : -633.0000, 1 -> 7
d : 617.0000, 1 -> 2
a : -631.0000, 2 -> 0
b : -450.0000, 2 -> 0
c : 829.0000, 2 -> 3
d : -71.0000, 2 -> 7
a : 195.0000, 3 -> 4
b : 872.0000, 3 -> 7
c : 693.0000, 3 -> 7
d : -928.0000, 3 -> 7
a : 717.0000, 4 -> 0
b : -460.0000, 4 -> 2
c : -488.0000, 4 -> 2
d : 983.0000, 4 -> 0
a : 941.0000, 5 -> 3
b : -147.0000, 5 -> 5
c : -464.0000, 5 -> 0
d : -973.0000, 5 -> 1
a : 5.0000, 6 -> 1
b : 322.0000, 6 -> 0
c : -755.0000, 6 -> 6
d : 312.0000, 6 -> 2
a : -680.0000, 7 -> 6
b : -814.0000, 7 -> 1
c : 573.0000, 7 -> 3
d : -756.0000, 7 -> 7
a : -993.0000, 0 -> 4
d : -586.0000, 0 -> 7
b : 430.0000, 1 -> 1
d : 30.0000, 1 -> 4
d : 593.0000, 2 -> 6
c : 532.0000, 2 -> 0
c : 88.0000, 3 -> 4
b : 837.0000, 3 -> 1
d : -545.0000, 4 -> 5
d : 198.0000, 4 -> 3
a : 798.0000, 5 -> 1
a : -384.0000, 5 -> 0
c : -468.0000, 6 -> 4
a : -548.0000, 6 -> 5
a : 59.0000, 7 -> 4
d : 68.0000, 7 -> 3
