a : -903.0000, 0 -> 5
b : -825.0000, 0 -> 2
c : -142.0000, 0 -> 4
a : 634.0000, 1 -> 4
b : -832.0000, 1 -> 2
c : 130.0000, 1 -> 4
a : -164.0000, 2 -> 2
b : -480.0000, 2 -> 1
c : 600.0000, 2 -> 5
a : 161.0000, 3 -> 2
b : 172.0000, 3 -> 5
c : 284.0000, 3 -> 0
a : 297.0000, 4 -> 5
b : -682.0000, 4 -> 3
c : -929.0000, 4 -> 1
a : 712.0000, 5 -> 1
b : -843.0000, 5 -> 2
c : -911.0000, 5 -> 2
a : 682.0000, 0 -> 3
c : -934.0000, 1 -> 0
b : 184.0000, 2 -> 2
c : -476.0000, 3 -> 1
a : 662.0000, 4 -> 0
c : 866.0000, 5 -> 4
