a : 74.0000, 0 -> 3
b : -587.0000, 0 -> 0
c : 609.0000, 0 -> 1
d : -768.0000, 0 -> 4
a : 531.0000, 1 -> 0
b : 644.0000, 1 -> 0
c : -799.0000, 1 -> 2
d : -788.0000, 1 -> 3
a : 271.0000, 2 -> 3
b : -406.0000, 2 -> 3
c : 399.0000, 2 -> 4
d : 339.0000, 2 -> 0
a : 462.0000, 3 -> 3
b : 197.0000, 3 -> 2
c : -284.0000, 3 -> 0
d : 130.0000, 3 -> 4
a : -697.0000, 4 -> 1
b : 357.0000, 4 -> 1
c : 344.0000, 4 -> 4
d : -704.0000, 4 -> 1
b : -597.0000, 0 -> 4
d : -203.0000, 0 -> 0
d : 975.0000, 1 -> 4
a : 892.0000, 1 -> 4
c : -366.0000, 2 -> 1
b : 954.0000, 2 -> 2
a : -397.0000, 3 -> 2
d : -760.0000, 3 -> 0
d : -269.0000, 4 -> 0
d : 926.0000, 4 -> 2
