a : -314.0000, 0 -> 3
b : 137.0000, 0 -> 2
c : 969.0000, 0 -> 2
d : -417.0000, 0 -> 3
a : 349.0000, 1 -> 3
b : -757.0000, 1 -> 2
c : 664.0000, 1 -> 0
d : -703.0000, 1 -> 1
a : 696.0000, 2 -> 0
b : -522.0000, 2 -> 1
c : -847.0000, 2 -> 2
d : 84.0000, 2 -> 0
a : 799.0000, 3 -> 1
b : 574.0000, 3 -> 2
c : -400.0000, 3 -> 0
d : -80.0000, 3 -> 0
c : 520.0000, 0 -> 1
c : 767.0000, 0 -> 0
d : -259.0000, 1 -> 0
c : -950.0000, 1 -> 1
b : 144.0000, 2 -> 0
d : -194.0000, 2 -> 2
c : -862.0000, 3 -> 2
a : -135.0000, 3 -> 3
