a : 621.0000, 0 -> 3
b : 322.0000, 0 -> 1
c : -879.0000, 0 -> 4
d : -392.0000, 0 -> 4
a : -125.0000, 1 -> 0
b : 652.0000, 1 -> 0
c : 324.0000, 1 -> 0
d : -124.0000, 1 -> 2
a : 314.0000, 2 -> 1
b : 728.0000, 2 -> 3
c : -980.0000, 2 -> 1
d : -382.0000, 2 -> 3
a : 854.0000, 3 -> 0
b : -985.0000, 3 -> 0
c : 302.0000, 3 -> 0
d : -897.0000, 3 -> 0
a : -388.0000, 4 -> 0
b : 815.0000, 4 -> 4
c : 619.0000, 4 -> 3
d : 139.0000, 4 -> 2
c : -410.0000, 0 -> 3
a : 187.0000, 0 -> 1
a : 251.0000, 1 -> 3
b : -342.0000, 1 -> 2
a : -776.0000, 2 -> 3
b : -821.0000, 2 -> 1
d : 843.0000, 3 -> 2
c : 250.0000, 3 -> 4
b : -761.0000, 4 -> 2
b : 427.0000, 4 -> 3
