a : 153.0000, 0 -> 1
b : -745.0000, 0 -> 0
c : 265.0000, 0 -> 3
d : 68.0000, 0 -> 1
a : -707.0000, 1 -> 0
b : -816.0000, 1 -> 2
c : 180.0000, 1 -> 2
d : 838.0000, 1 -> 3
a : 611.0000, 2 -> 1
b : -411.0000, 2 -> 3
c : -157.0000, 2 -> 3
d : 858.0000, 2 -> 3
a : -9.0000, 3 -> 1
b : -487.0000, 3 -> 3
c : 383.0000, 3 -> 2
d : 920.0000, 3 -> 2
c : -531.0000, 0 -> 2
a : 948.0000, 0 -> 0
b : 359.0000, 1 -> 0
a : -752.0000, 1 -> 3
d : 108.0000, 2 -> 2
a : -995.0000, 2 -> 2
d : 990.0000, 3 -> 1
a : -179.0000, 3 -> 0
