a : 316.0000, 0 -> 2
b : 688.0000, 0 -> 1
c : -477.0000, 0 -> 2
d : 212.0000, 0 -> 2
a : 525.0000, 1 -> 6
b : -689.0000, 1 -> 1
c : 256.0000, 1 -> 5
d : 505.0000, 1 -> 1
a : -394.0000, 2 -> 0
b : -855.0000, 2 -> 1
c : -43.0000, 2 -> 6
d : -492.0000, 2 -> 1
a : -821.0000, 3 -> 1
b : -75.0000, 3 -> 2
c : 612.0000, 3 -> 2
d : -606.0000, 3 -> 1
a : 855.0000, 4 -> 6
b : -913.0000, 4 -> 3
c : -957.0000, 4 -> 6
d : -643.0000, 4 -> 4
a : -124.0000, 5 -> 6
b : 450.0000, 5 -> 3
c : 538.0000, 5 -> 4
d : -35.0000, 5 -> 5
a : -784.0000, 6 -> 1
b : 449.0000, 6 -> 6
c : -287.0000, 6 -> 6
d : 528.0000, 6 -> 4
d : 60.0000, 0 -> 3
c : 562.0000, 0 -> 1
c : -826.0000, 1 -> 2
c : 259.0000, 1 -> 6
c : 327.0000, 2 -> 3
a : 380.0000, 2 -> 6
a : 383.0000, 3 -> 6
b : 460.0000, 3 -> 1
a : 927.0000, 4 -> 2
d : 382.0000, 4 -> 0
a : 728.0000, 5 -> 3
c : 146.0000, 5 -> 2
b : -926.0000, 6 -> 5
c : -207.0000, 6 -> 2
