a : 797.0000, 0 -> 3
b : 514.0000, 0 -> 3
c : -708.0000, 0 -> 1
d : -209.0000, 0 -> 6
a : 372.0000, 1 -> 5
b : 301.0000, 1 -> 0
c : 746.0000, 1 -> 2
d : -770.0000, 1 -> 6
a : 409.0000, 2 -> 3
b : -551.0000, 2 -> 5
c : 247.0000, 2 -> 5
d : -718.0000, 2 -> 3
a : 924.0000, 3 -> 4
b : 364.0000, 3 -> 1
c : 441.0000, 3 -> 3
d : -214.0000, 3 -> 4
a : 616.0000, 4 -> 5
b : 541.0000, 4 -> 6
c : 279.0000, 4 -> 3
d : 628.0000, 4 -> 5
a : -155.0000, 5 -> 4
b : -810.0000, 5 -> 5
c : 77.0000, 5 -> 3
d : -274.0000, 5 -> 1
a : -802.0000, 6 -> 3
b : -889.0000, 6 -> 2
c : 51.0000, 6 -> 1
d : -644.0000, 6 -> 3
c : 756.0000, 0 -> 3
a : -968.0000, 0 -> 0
d : 383.0000, 1 -> 0
b : 138.0000, 1 -> 2
c : 555.0000, 2 -> 0
d : 584.0000, 2 -> 6
d : -523.0000, 3 -> 2
a : -564.0000, 3 -> 2
c : -168.0000, 4 -> 4
b : 899.0000, 4 -> 5
d : -691.0000, 5 -> 3
c : -562.0000, 5 -> 4
b : -603.0000, 6 -> 5
a : -45.0000, 6 -> 1
