a : 51.0000, 0 -> 4
b : 920.0000, 0 -> 2
c : 54.0000, 0 -> 2
a : 870.0000, 1 -> 6
b : 820.0000, 1 -> 4
c : -963.0000, 1 -> 3
a : 790.0000, 2 -> 4
b : -582.0000, 2 -> 3
c : 875.0000, 2 -> 0
a : 710.0000, 3 -> 3
b : -697.0000, 3 -> 5
c : 633.0000, 3 -> 0
a : 644.0000, 4 -> 6
b : 736.0000, 4 -> 4
c : -312.0000, 4 -> 6
a : 205.0000, 5 -> 3
b : 160.0000, 5 -> 1
c : 986.0000, 5 -> 3
a : -962.0000, 6 -> 0
b : -997.0000, 6 -> 1
c : -587.0000, 6 -> 0
b : -846.0000, 0 -> 0
c : 771.0000, 1 -> 4
c : 515.0000, 2 -> 3
c : 708.0000, 3 -> 3
b : 691.0000, 4 -> 0
b : -424.0000, 5 -> 6
c : -951.0000, 6 -> 1
