a : 253.0000, 0 -> 2
b : 961.0000, 0 -> 6
c : -631.0000, 0 -> 5
a : 373.0000, 1 -> 2
b : -393.0000, 1 -> 2
c : 779.0000, 1 -> 5
a : 138.0000, 2 -> 6
b : -208.0000, 2 -> 1
c : 574.0000, 2 -> 7
a : 866.0000, 3 -> 6
b : -70.0000, 3 -> 7
c : -209.0000, 3 -> 7
a : 227.0000, 4 -> 4
b : -543.0000, 4 -> 1
c : 423.0000, 4 -> 3
a : -133.0000, 5 -> 7
b : 427.0000, 5 -> 5
c : -687.0000, 5 -> 4
a : 568.0000, 6 -> 7
b : 384.0000, 6 -> 0
c : 48.0000, 6 -> 5
a : 594.0000, 7 -> 1
b : 867.0000, 7 -> 5
c : -599.0000, 7 -> 0
b : -571.0000, 0 -> 7
a : -650.0000, 1 -> 7
b : 943.0000, 2 -> 7
a : 462.0000, 3 -> 7
a : -304.0000, 4 -> 3
a : 797.0000, 5 -> 5
a : 782.0000, 6 -> 2
b : -102.0000, 7 -> 2
