a : -663.0000, 0 -> 2
b : -994.0000, 0 -> 1
c : 52.0000, 0 -> 5
a : -290.0000, 1 -> 6
b : -493.0000, 1 -> 2
c : -706.0000, 1 -> 2
a : -910.0000, 2 -> 5
b : 532.0000, 2 -> 2
c : -488.0000, 2 -> 3
a : 903.0000, 3 -> 3
b : 156.0000, 3 -> 4
c : -452.0000, 3 -> 4
a : 832.0000, 4 -> 6
b : 300.0000, 4 -> 2
c : -286.0000, 4 -> 3
a : 706.0000, 5 -> 7
b : 662.0000, 5 -> 1
c : -700.0000, 5 -> 2
a : 747.0000, 6 -> 5
b : -592.0000, 6 -> 4
c : 962.0000, 6 -> 2
a : 97.0000, 7 -> 6
b : -480.0000, 7 -> 0
c : -179.0000, 7 -> 4
c : -196.0000, 0 -> 0
a : -861.0000, 1 -> 4
a : -377.0000, 2 -> 1
b : -567.0000, 3 -> 1
b : 112.0000, 4 -> 4
c : -880.0000, 5 -> 7
a : 352.0000, 6 -> 4
c : 214.0000, 7 -> 1
