a : 854.0000, 0 -> 3
b : 430.0000, 0 -> 3
c : 662.0000, 0 -> 2
a : 729.0000, 1 -> 1
b : 636.0000, 1 -> 2
c : -1.0000, 1 -> 5
a : 53.0000, 2 -> 0
b : 63.0000, 2 -> 1
c : 365.0000, 2 -> 5
a : 67.0000, 3 -> 5
b : 666.0000, 3 -> 2
c : -120.0000, 3 -> 5
a : 841.0000, 4 -> 0
b : -431.0000, 4 -> 1
c : -580.0000, 4 -> 4
a : -384.0000, 5 -> 3
b : -87.0000, 5 -> 2
c : -278.0000, 5 -> 5
b : -231.0000, 0 -> 4
b : -114.0000, 1 -> 0
a : -359.0000, 2 -> 4
b : -328.0000, 3 -> 5
c : -512.0000, 4 -> 2
c : 86.0000, 5 -> 4
