a : -53.0000, 0 -> 3
b : -675.0000, 0 -> 3
c : -535.0000, 0 -> 1
d : -980.0000, 0 -> 3
a : 443.0000, 1 -> 3
b : -919.0000, 1 -> 1
c : -106.0000, 1 -> 1
d : 994.0000, 1 -> 1
a : 516.0000, 2 -> 0
b : -657.0000, 2 -> 0
c : -581.0000, 2 -> 3
d : -857.0000, 2 -> 0
a : -333.0000, 3 -> 3
b : 124.0000, 3 -> 2
c : -10.0000, 3 -> 0
d : 197.0000, 3 -> 2
b : -884.0000, 0 -> 2
c : 697.0000, 0 -> 0
a : 644.0000, 1 -> 0
d : 526.0000, 1 -> 2
b : -816.0000, 2 -> 1
d : -363.0000, 2 -> 1
b : -608.0000, 3 -> 3
d : 376.0000, 3 -> 3
