a : -419.0000, 0 -> 4
b : 955.0000, 0 -> 1
c : 248.0000, 0 -> 6
a : -937.0000, 1 -> 0
b : -136.0000, 1 -> 6
c : 496.0000, 1 -> 4
a : 422.0000, 2 -> 0
b : -110.0000, 2 -> 5
c : 683.0000, 2 -> 2
a : 25.0000, 3 -> 6
b : -633.0000, 3 -> 4
c : 865.0000, 3 -> 1
a : 575.0000, 4 -> 2
b : -366.0000, 4 -> 5
c : -188.0000, 4 -> 6
a : 263.0000, 5 -> 2
b : -950.0000, 5 -> 3
c : -568.0000, 5 -> 1
a : -530.0000, 6 -> 1
b : 448.0000, 6 -> 0
c : -766.0000, 6 -> 2
a : -666.0000, 7 -> 3
b : 843.0000, 7 -> 0
c : 268.0000, 7 -> 6
c : -67.0000, 0 -> 2
c : -258.0000, 1 -> 5
b : -720.0000, 2 -> 7
a : 281.0000, 3 -> 7
a : -301.0000, 4 -> 1
c : -495.0000, 5 -> 4
b : 471.0000, 6 -> 4
b : 82.0000, 7 -> 1
