a : -52.0000, 0 -> 4
b : -950.0000, 0 -> 3
c : -472.0000, 0 -> 4
d : 301.0000, 0 -> 3
a : 793.0000, 1 -> 4
b : -385.0000, 1 -> 3
c : 153.0000, 1 -> 1
d : -197.0000, 1 -> 3
a : 485.0000, 2 -> 0
b : 791.0000, 2 -> 4
c : 837.0000, 2 -> 1
d : 446.0000, 2 -> 3
a : 412.0000, 3 -> 3
b : 37.0000, 3 -> 3
c : 146.0000, 3 -> 0
d : -419.0000, 3 -> 3
a : 896.0000, 4 -> 3
b : 193.0000, 4 -> 2
c : -27.0000, 4 -> 0
d : 713.0000, 4 -> 3
d : -773.0000, 0 -> 1
a : -376.0000, 0 -> 0
a : -857.0000, 1 -> 0
b : 179.0000, 1 -> 0
b : 620.0000, 2 -> 2
c : -126.0000, 2 -> 2
b : 462.0000, 3 -> 0
c : -817.0000, 3 -> 1
a : -484.0000, 4 -> 1
a : 278.0000, 4 -> 4
