a : 896.0000, 0 -> 0
b : -523.0000, 0 -> 1
c : 270.0000, 0 -> 2
a : -458.0000, 1 -> 0
b : -762.0000, 1 -> 2
c : 872.0000, 1 -> 2
a : 617.0000, 2 -> 0
b : -345.0000, 2 -> 1
c : 40.0000, 2 -> 0
a : 137.0000, 3 -> 4
b : -911.0000, 3 -> 0
c : 635.0000, 3 -> 2
a : -320.0000, 4 -> 1
b : -51.0000, 4 -> 5
c : -979.0000, 4 -> 0
a : -622.0000, 5 -> 4
b : -1.0000, 5 -> 0
c : -224.0000, 5 -> 1
b : 220.0000, 0 -> 0
b : 531.0000, 1 -> 5
a : 574.0000, 2 -> 4
c : -312.0000, 3 -> 4
a : -286.0000, 4 -> 0
b : -710.0000, 5 -> 1
a : -310.0000, 4 -> 3
