a : 671.0000, 0 -> 4
b : 539.0000, 0 -> 2
c : -541.0000, 0 -> 4
d : -593.0000, 0 -> 4
a : 491.0000, 1 -> 4
b : 634.0000, 1 -> 4
c : -559.0000, 1 -> 1
d : -602.0000, 1 -> 2
a : -138.0000, 2 -> 1
b : -129.0000, 2 -> 4
c : -4.0000, 2 -> 4
d : -694.0000, 2 -> 3
a : 830.0000, 3 -> 2
b : -874.0000, 3 -> 1
c : 360.0000, 3 -> 3
d : -941.0000, 3 -> 3
a : 244.0000, 4 -> 2
b : -953.0000, 4 -> 1
c : -58.0000, 4 -> 2
d : 153.0000, 4 -> 2
d : -770.0000, 0 -> 0
d : -453.0000, 0 -> 1
b : -622.0000, 1 -> 1
a : 409.0000, 1 -> 1
c : 797.0000, 2 -> 1
a : -954.0000, 2 -> 2
c : -533.0000, 3 -> 4
b : -930.0000, 3 -> 3
c : -137.0000, 4 -> 3
d : -997.0000, 4 -> 4
