a : -824.0000, 0 -> 5
b : 565.0000, 0 -> 4
c : 756.0000, 0 -> 2
d : 162.0000, 0 -> 4
a : 533.0000, 1 -> 2
b : -144.0000, 1 -> 4
c : 820.0000, 1 -> 5
d : -599.0000, 1 -> 5
a : 589.0000, 2 -> 5
b : -258.0000, 2 -> 3
c : 527.0000, 2 -> 1
d : 674.0000, 2 -> 4
a : 113.0000, 3 -> 6
b : 133.0000, 3 -> 5
c : -709.0000, 3 -> 3
d : -603.0000, 3 -> 0
a : 623.0000, 4 -> 3
b : -149.0000, 4 -> 6
c : -114.0000, 4 -> 0
d : -650.0000, 4 -> 1
a : 311.0000, 5 -> 5
b : 87.0000, 5 -> 4
c : 628.0000, 5 -> 0
d : 579.0000, 5 -> 2
a : 230.0000, 6 -> 2
b : 405.0000, 6 -> 6
c : -592.0000, 6 -> 1
d : 154.0000, 6 -> 6
c : 254.0000, 0 -> 0
a : 220.0000, 0 -> 4
d : 849.0000, 1 -> 0
c : -467.0000, 1 -> 0
a : -659.0000, 2 -> 4
b : -292.0000, 2 -> 4
a : -434.0000, 3 -> 1
c : -693.0000, 3 -> 2
a : -816.0000, 4 -> 2
b : -827.0000, 4 -> 4
a : -805.0000, 5 -> 4
a : 620.0000, 5 -> 2
b : -925.0000, 6 -> 3
c : 160.0000, 6 -> 2
