a : 280.0000, 0 -> 3
b : -78.0000, 0 -> 5
a : -195.0000, 1 -> 3
b : 214.0000, 1 -> 4
a : 414.0000, 2 -> 6
b : -957.0000, 2 -> 1
a : -262.0000, 3 -> 2
b : 426.0000, 3 -> 5
a : -264.0000, 4 -> 5
b : 527.0000, 4 -> 6
a : 304.0000, 5 -> 2
b : -752.0000, 5 -> 4
a : 140.0000, 6 -> 3
b : -789.0000, 6 -> 1
a : -171.0000, 7 -> 5
b : 130.0000, 7 -> 3
b : 907.0000, 0 -> 2
b : 872.0000, 1 -> 5
b : -761.0000, 2 -> 5
b : 275.0000, 3 -> 4
b : -541.0000, 4 -> 7
b : 735.0000, 5 -> 1
a : -273.0000, 6 -> 2
a : 932.0000, 7 -> 7
