a : 465.0000, 0 -> 0
b : -275.0000, 0 -> 0
c : -742.0000, 0 -> 0
d : 419.0000, 0 -> 4
a : 160.0000, 1 -> 1
b : -556.0000, 1 -> 4
c : -585.0000, 1 -> 2
d : 962.0000, 1 -> 1
a : -421.0000, 2 -> 2
b : -350.0000, 2 -> 2
c : -211.0000, 2 -> 3
d : -606.0000, 2 -> 2
a : 760.0000, 3 -> 2
b : 385.0000, 3 -> 0
c : 865.0000, 3 -> 1
d : -768.0000, 3 -> 2
a : -652.0000, 4 -> 2
b : 203.0000, 4 -> 2
c : -887.0000, 4 -> 2
d : 738.0000, 4 -> 0
d : -365.0000, 0 -> 2
b : 768.0000, 0 -> 2
c : -631.0000, 1 -> 3
b : -601.0000, 1 -> 0
b : -167.0000, 2 -> 4
d : -278.0000, 2 -> 4
d : -570.0000, 3 -> 0
c : -594.0000, 3 -> 3
b : -842.0000, 4 -> 1
c : 20.0000, 4 -> 3
