a : 108.0000, 0 -> 2
b : -824.0000, 0 -> 2
a : -212.0000, 1 -> 6
b : -703.0000, 1 -> 4
a : 56.0000, 2 -> 0
b : 463.0000, 2 -> 0
a : -331.0000, 3 -> 0
b : 684.0000, 3 -> 5
a : 218.0000, 4 -> 7
b : -890.0000, 4 -> 5
a : -597.0000, 5 -> 6
b : 450.0000, 5 -> 7
a : 145.0000, 6 -> 2
b : -707.0000, 6 -> 1
a : -285.0000, 7 -> 1
b : -268.0000, 7 -> 5
b : 553.0000, 0 -> 1
b : -722.0000, 1 -> 0
b : 86.0000, 2 -> 6
b : -119.0000, 3 -> 1
b : -826.0000, 4 -> 7
b : 751.0000, 5 -> 0
b : 209.0000, 6 -> 5
b : -371.0000, 7 -> 3
